icao_code,iata_code,name,city,country_code
SLAL,SRE,Alcantarí International Airport,Sucre,BO
SLAP,APB,Apolo Airport,Apolo,BO
SLAS,ASC,Ascención de Guarayos Airport,Ascensión de Guarayos,BO
SLBJ,BJO,Bermejo Airport,Bermejo,BO
SLCA,CAM,Camiri Airport,Camiri,BO
SLCB,CBB,Jorge Wilsterman International Airport,Cochabamba,BO
SLCC,,Copacabana Airport,Copacabana,BO
SLCE,,Cabezas Airport,Cordillera,BO
SLCO,CIJ,Capitán Aníbal Arab Airport,Cobija,BO
SLCP,CEP,Concepción Airport,Concepción,BO
SLET,SRZ,El Trompillo Airport,Santa Cruz,BO
SLGM,GYA,Guayaramerín Airport,Guayaramerín,BO
SLGY,,Capitán de Av. Emilio Beltrán Airport,Guayaramerín,BO
SLHI,CCA,Chimore Airport,Chimore,BO
SLHJ,BVK,Huacaraje Airport,Itenes,BO
SLJE,SJS,San José De Chiquitos Airport,San José de Chiquitos,BO
SLJO,SJB,San Joaquín Airport,San Joaquín,BO
SLJV,SJV,San Javier Airport,San Javier,BO
SLLP,LPB,El Alto International Airport,La Paz / El Alto,BO
SLMG,MGD,Magdalena Airport,Magdalena,BO
SLOR,ORU,Juan Mendoza International Airport,Oruro,BO
SLPO,POI,Capitan Nicolas Rojas Airport,Potosí,BO
SLPR,PUR,Puerto Rico Airport,Puerto Rico/Manuripi,BO
SLPS,PSZ,Capitán Av. Salvador Ogaya G. airport,Puerto Suárez,BO
SLRA,SRD,San Ramón Airport,San Ramón / Mamoré,BO
SLRB,RBO,Roboré Airport,Roboré,BO
SLRI,RIB,Capitán Av. Selin Zeitun Lopez Airport,Riberalta,BO
SLRQ,RBQ,Rurrenabaque Airport,Rurrenabaque,BO
SLRY,REY,Reyes Airport,Reyes,BO
SLSA,SBL,Santa Ana Del Yacuma Airport,Santa Ana del Yacuma,BO
SLSB,SRJ,Capitán Av. German Quiroga G. Airport,San Borja,BO
SLSI,SNG,Capitán Av. Juan Cochamanidis S. Airport,San Ignacio de Velasco,BO
SLSM,SNM,San Ignacio de Moxos Airport,San Ignacio de Moxos,BO
SLSR,SRB,Santa Rosa de Yacuma Airport,Santa Rosa,BO
SLSU,,Juana Azurduy de Padilla Air Force Base,Sucre,BO
SLTI,MQK,San Matías Airport,San Matías,BO
SLTJ,TJA,Capitan Oriel Lea Plaza Airport,Tarija,BO
SLTL,,San Cristóbal Toldos Airport,Nor Lipez,BO
SLTR,TDD,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,BO
SLUY,UYU,Joya Andina International Airport,Quijarro,BO
SLVG,VAH,Capitán Av. Vidal Villagomez Toledo Airport,Vallegrande,BO
SLVM,VLM,Teniente Coronel Rafael Pabón Airport,Villamontes,BO
SLVR,VVI,Viru Viru International Airport,Santa Cruz,BO
SLYA,BYC,Yacuiba Airport,Yacuíba,BO
SMAF,,Afobakka Airstrip,Afobakka,SR
SMBN,ABN,Albina Airport,Albina,SR
SMCA,AAJ,Cayana Airstrip,Awaradam,SR
SMCO,TOT,Totness Airport,Totness,SR
SMCT,,Cottica Airstrip,Lawa Cottica,SR
